time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-06-23T22:04:35.790Z,45.514,15.928,10,2.5,ml,10,,,1.01,us,usp0009v19,2014-11-07T01:10:24.352Z,"5 km ESE of Lasinja, Croatia",earthquake,,,,,reviewed,us,zag
2000-07-23T22:47:27.950Z,46.468,14.634,5,2.6,ml,11,,,0.47,us,usp0009x26,2014-11-07T01:10:39.669Z,"7 km NW of Sol?ava, Slovenia",earthquake,,,,,reviewed,us,vie
2000-07-28T18:57:21.180Z,45.959,15.593,10,3.7,ml,38,,,1.13,us,usp0009xbc,2014-11-07T01:10:41.371Z,"6 km N of Brežice, Slovenia",earthquake,,,,,reviewed,us,mox
2000-07-28T21:52:42.770Z,45.973,15.678,10,2.9,ml,7,,,0.33,us,usp0009xbx,2014-11-07T01:10:41.434Z,"9 km S of Bistrica ob Sotli, Slovenia",earthquake,,,,,reviewed,us,vie
2000-07-29T07:35:50.730Z,44.042,15.801,10,2.8,ml,6,,,1.07,us,usp0009xcq,2014-11-07T01:10:41.488Z,"14 km WNW of Kistanje, Croatia",earthquake,,,,,reviewed,us,vie
2000-08-03T19:28:01.320Z,45.617,14.098,10,2.7,ml,7,,,0.14,us,usp0009xun,2014-11-07T01:10:48.711Z,"10 km SW of Pivka, Slovenia",earthquake,,,,,reviewed,us,vie
2000-08-05T18:13:08.190Z,43.342,17.706,10,3.7,ml,81,,,1.29,us,usp0009xyz,2014-11-07T01:10:49.294Z,"5 km W of Ili?i, Bosnia and Herzegovina",earthquake,,,,,reviewed,us,rom
2000-08-16T05:56:52.920Z,46.078,13.836,10,3.2,ml,14,,,0.83,us,usp0009yk8,2014-11-07T01:10:52.195Z,"12 km WSW of Cerkno, Slovenia",earthquake,,,,,reviewed,us,vie
2000-08-28T20:00:32.390Z,44.445,17.318,10,3.7,ml,45,,,1.16,us,usp0009zaj,2014-11-07T01:10:56.032Z,"7 km SW of Kneževo, Bosnia and Herzegovina",earthquake,,,,,reviewed,us,vie
2000-08-30T03:45:38.170Z,45.054,14.596,5,2.8,ml,10,,,1.06,us,usp0009zcq,2014-11-07T01:10:56.424Z,"3 km NNE of Krk, Croatia",earthquake,,,,,reviewed,us,vie
2000-09-09T06:09:41.340Z,43.995,15.164,10,3.3,ml,11,,,1.07,us,usp0009zxy,2014-11-07T01:11:03.653Z,"6 km N of Sali, Croatia",earthquake,,,,,reviewed,us,vie
2000-09-09T09:57:07.070Z,44.337,17.684,10,3,md,11,,,1.2,us,usp0009zy9,2014-11-07T01:11:03.685Z,"12 km N of Travnik, Bosnia and Herzegovina",earthquake,,,,,reviewed,us,pdg
2000-09-10T06:03:02.310Z,45.858,15.923,10,2.7,ml,10,,,0.47,us,usp0009zzp,2014-11-07T01:11:03.862Z,"5 km ESE of Jablanovec, Croatia",earthquake,,,,,reviewed,us,vie
2000-09-11T18:31:35.260Z,43.518,16.001,10,3.3,ml,23,,,0.92,us,usp000a03b,2014-11-07T01:11:04.369Z,"2 km ESE of Rogoznica, Croatia",earthquake,,,,,reviewed,us,vie
2000-09-15T11:43:05.870Z,46.052,14.789,10,2.5,ml,8,,,0.2,us,usp000a09v,2014-11-07T01:11:05.293Z,"2 km WSW of Litija, Slovenia",earthquake,,,,,reviewed,us,vie
2000-09-17T18:43:09.140Z,44.853,15.598,10,3.4,ml,11,,,0.43,us,usp000a0dz,2014-11-07T01:11:05.769Z,"14 km W of Iza?i?, Bosnia and Herzegovina",earthquake,,,,,reviewed,us,vie
2000-09-25T01:21:52.370Z,44.943,17.763,10,3.4,ml,10,,,1.18,us,usp000a0s4,2014-11-07T01:11:07.230Z,"5 km W of Kalenderovci Donji, Bosnia and Herzegovina",earthquake,,,,,reviewed,us,vie
2000-09-27T21:28:14.340Z,46.224,15.119,10,3,ml,15,,,0.95,us,usp000a0x8,2014-11-07T01:11:07.948Z,"2 km SE of Prebold, Slovenia",earthquake,,,,,reviewed,us,vie
2000-09-29T18:03:35.580Z,43.345,18.852,4.2,2.7,md,12,,,,us,usp000a10e,2014-11-07T01:11:08.277Z,"18 km SSE of Fo?a, Bosnia and Herzegovina",earthquake,,,,,reviewed,pdg,pdg
2000-10-01T22:01:56.540Z,46.041,14.809,10,3,ml,26,,,0.98,us,usp000a14c,2014-11-07T01:11:11.322Z,"2 km SSW of Litija, Slovenia",earthquake,,,,,reviewed,us,vie
2000-10-07T19:26:51.080Z,45.427,14.676,10,2.5,ml,8,,,1.34,us,usp000a1e0,2014-11-07T01:11:15.092Z,"10 km WNW of Delnice, Croatia",earthquake,,,,,reviewed,us,vie
2000-10-08T12:36:23.620Z,46.053,14.338,10,2.7,ml,14,,,1.25,us,usp000a1fe,2014-11-07T01:11:15.295Z,"4 km W of Dobrova, Slovenia",earthquake,,,,,reviewed,us,vie
2000-10-08T15:44:51.810Z,43.601,16.249,10,3.6,mb,76,,,0.98,us,usp000a1fq,2014-11-07T01:11:15.429Z,"1 km ESE of Prgomet, Croatia",earthquake,,,,1,reviewed,us,us
